fighter_key,fighter_id,fighter_name,nick_name,wins,losses,draws,height,weight,reach,stance,date_of_birth,height_cm,weight_lbs,reach_inches,reach_cm,url,slpm,str_acc,str_acc_num,sapm,str_def,takedowns_avg,takedowns_acc,takedowns_acc_num,takedowns_def,sub_avg,source_match
JAY SILVA,53bb0d40905b87c0,Jay Silva,,10.0,11.0,1.0,"6' 2""",185 lbs.,,Southpaw,,187.96,185.0,,,http://ufcstats.com/fighter-details/53bb0d40905b87c0,1.13,34%,34.0,3.07,40%,0.0,0%,0.0,38%,1.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JC COTTRELL,3ec1e4ba98c9c85a,JC Cottrell,,17.0,5.0,0.0,"5' 9""",155 lbs.,,Orthodox,1989-11-04,175.26,155.0,,,http://ufcstats.com/fighter-details/3ec1e4ba98c9c85a,0.79,25%,25.0,2.75,45%,0.79,100%,100.0,50%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JEAN FRANCOIS LENOGUE,e60201cfab7d656d,Jean Francois Lenogue,,,,,"6' 0""",185 lbs.,,Orthodox,1972-11-29,182.88,185.0,,,http://ufcstats.com/fighter-details/e60201cfab7d656d,1.13,34%,34.0,0.27,60%,0.0,0%,0.0,33%,0.0,"fighter_tott, raw_fighter_details"
JEAN MATSUMOTO,ffd3224638c01b57,Jean Matsumoto,,17.0,1.0,0.0,"5' 6""",135 lbs.,"68""",Orthodox,1999-09-09,167.64,135.0,68.0,172.72,http://ufcstats.com/fighter-details/ffd3224638c01b57,5.35,38%,38.0,5.29,49%,2.85,42%,42.0,56%,0.5,"fighter_tott, raw_fighter_details, ufc_dataset"
JEAN SILVA,9211aae062b799d6,Jean Silva,Lord,16.0,2.0,0.0,"5' 6""",160 lbs.,"69""",Orthodox,1977-10-08,167.64,160.0,69.0,175.26,http://ufcstats.com/fighter-details/9211aae062b799d6,0.73,22%,22.0,2.93,52%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JEAN-PAUL LEBOSNOYANI,a3dda21be645be93,Jean-Paul Lebosnoyani,,,,,"5' 11""",170 lbs.,"72""",Switch,1999-01-27,180.34,170.0,72.0,182.88,http://ufcstats.com/fighter-details/a3dda21be645be93,,,,,,,,,,,fighter_tott
JEFF BEDARD,93bf96be327fcd98,Jeff Bedard,,,,,"5' 6""",145 lbs.,,Orthodox,1970-02-06,167.64,145.0,,,http://ufcstats.com/fighter-details/93bf96be327fcd98,0.8,51%,51.0,0.0,100%,3.43,66%,66.0,100%,2.6,"fighter_tott, raw_fighter_details"
JEFF COX,c9bbf1a0285a8076,Jeff Cox,The Grinder,10.0,7.0,0.0,"5' 10""",155 lbs.,,Orthodox,1968-08-02,177.8,155.0,,,http://ufcstats.com/fighter-details/c9bbf1a0285a8076,0.56,25%,25.0,1.69,33%,4.23,50%,50.0,80%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JEFF CROTTY,98601a40e9d96047,Jeff Crotty,,,,,,155 lbs.,,,,,155.0,,,http://ufcstats.com/fighter-details/98601a40e9d96047,0.93,35%,35.0,3.33,54%,5.0,38%,38.0,0%,1.0,"fighter_tott, raw_fighter_details"
JEFF CURRAN,a8ea84cbe1655f0a,Jeff Curran,Big Frog,36.0,18.0,1.0,"5' 6""",135 lbs.,"69""",Orthodox,1977-09-02,167.64,135.0,69.0,175.26,http://ufcstats.com/fighter-details/a8ea84cbe1655f0a,1.54,31%,31.0,2.48,60%,0.35,12%,12.0,35%,1.2,"fighter_tott, raw_fighter_details, ufc_dataset"
JEFF HOUGLAND,97a8f39186f489db,Jeff Hougland,Hellbound,10.0,6.0,0.0,"5' 7""",135 lbs.,"68""",Orthodox,1978-08-02,170.18,135.0,68.0,172.72,http://ufcstats.com/fighter-details/97a8f39186f489db,1.86,48%,48.0,3.46,47%,0.86,18%,18.0,0%,1.1,"fighter_tott, raw_fighter_details, ufc_dataset"
JEFF HUGHES,6a11e325aa60ad02,Jeff Hughes,Lights Out,10.0,4.0,0.0,"6' 2""",250 lbs.,"77""",Orthodox,1988-05-17,187.96,250.0,77.0,195.58,http://ufcstats.com/fighter-details/6a11e325aa60ad02,3.95,51%,51.0,3.67,60%,0.71,50%,50.0,45%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JEFF JOSLIN,388abbf8832b5adf,Jeff Joslin,The Inferno,5.0,3.0,0.0,"6' 0""",170 lbs.,,Orthodox,1975-04-30,182.88,170.0,,,http://ufcstats.com/fighter-details/388abbf8832b5adf,2.17,39%,39.0,1.57,65%,0.5,33%,33.0,64%,0.5,"fighter_tott, raw_fighter_details, ufc_dataset"
JEFF MOLINA,008ea710276c9606,Jeff Molina,El Jefe,11.0,2.0,0.0,"5' 6""",125 lbs.,"69""",Orthodox,1997-07-17,167.64,125.0,69.0,175.26,http://ufcstats.com/fighter-details/008ea710276c9606,5.07,38%,38.0,5.53,55%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JEFF MONSON,cbfd1d34356a004c,Jeff Monson,The Snowman,60.0,26.0,1.0,"5' 9""",247 lbs.,"74""",Orthodox,1971-01-18,175.26,247.0,74.0,187.96,http://ufcstats.com/fighter-details/cbfd1d34356a004c,0.97,30%,30.0,2.87,59%,1.06,12%,12.0,66%,0.7,"fighter_tott, raw_fighter_details, ufc_dataset"
JEFF NEWTON,94609dd91731d428,Jeff Newton,,4.0,2.0,0.0,"6' 2""",205 lbs.,,Sideways,1966-12-11,187.96,205.0,,,http://ufcstats.com/fighter-details/94609dd91731d428,0.28,20%,20.0,1.41,52%,0.0,0%,0.0,0%,8.5,"fighter_tott, raw_fighter_details, ufc_dataset"
JEFF TERRY,60f86c449cd31e23,Jeff Terry,,,,,"6' 2""",205 lbs.,,,,187.96,205.0,,,http://ufcstats.com/fighter-details/60f86c449cd31e23,1.09,50%,50.0,9.27,19%,0.0,0%,0.0,100%,0.0,"fighter_tott, raw_fighter_details"
JEFFERSON NASCIMENTO,cc6e9f3736854c24,JEFFERSON NASCIMENTO,,,,,"5' 8""",170 lbs.,"70""",Orthodox,1998-11-19,,170.0,70.0,177.8,,2.42,48%,48.0,2.56,57%,0.0,0%,0.0,66%,0.0,raw_fighter_details
JEIMESON SAUDINO,f6f9d41669dd3eaa,Jeimeson Saudino,,,,,"5' 6""",135 lbs.,,,1991-03-05,167.64,135.0,,,http://ufcstats.com/fighter-details/f6f9d41669dd3eaa,0.66,30%,30.0,0.82,84%,2.47,50%,50.0,0%,2.5,"fighter_tott, raw_fighter_details"
JEISLA CHAVES,8061a3136026a673,Jeisla Chaves,,,,,"5' 6""",125 lbs.,"68""",Orthodox,1997-02-02,167.64,125.0,68.0,172.72,http://ufcstats.com/fighter-details/8061a3136026a673,4.97,56%,56.0,4.2,53%,1.5,37%,37.0,62%,0.5,"fighter_tott, raw_fighter_details"
JEKA SARAGIH,57186c150c645200,Jeka Saragih,,14.0,5.0,0.0,"5' 8""",145 lbs.,"69""",Orthodox,1995-01-01,172.72,145.0,69.0,175.26,http://ufcstats.com/fighter-details/57186c150c645200,2.75,50%,50.0,2.82,40%,2.17,80%,80.0,66,0.5,"fighter_tott, ufc_dataset"
JENEL LAUSA,ec664422b22d9787,Jenel Lausa,,7.0,5.0,0.0,"5' 5""",125 lbs.,"68""",Orthodox,1988-08-01,165.1,125.0,68.0,172.72,http://ufcstats.com/fighter-details/ec664422b22d9787,1.44,42%,42.0,3.53,53%,0.55,66%,66.0,51%,0.8,"fighter_tott, raw_fighter_details, ufc_dataset"
JENNA CASTILLO,e680418329c84ec4,Jenna Castillo,,,,,"5' 2""",125 lbs.,,,1982-05-05,157.48,125.0,,,http://ufcstats.com/fighter-details/e680418329c84ec4,3.24,56%,56.0,2.01,57%,1.68,100%,100.0,100%,0.0,"fighter_tott, raw_fighter_details"
JENNIFER GONZALEZ,4f1a48f4e6ffb007,Jennifer Gonzalez,,,,,"5' 2""",125 lbs.,,,1986-03-22,157.48,125.0,,,http://ufcstats.com/fighter-details/4f1a48f4e6ffb007,,,,,,,,,,,fighter_tott
JENNIFER MAIA,8e1f36476ef02a6a,Jennifer Maia,,21.0,10.0,1.0,"5' 4""",125 lbs.,"64""",Orthodox,1988-10-06,162.56,125.0,64.0,162.56,http://ufcstats.com/fighter-details/8e1f36476ef02a6a,3.34,39%,39.0,3.52,52%,0.34,50%,50.0,56%,0.2,"fighter_tott, raw_fighter_details, ufc_dataset"
