red_fighter_name,blue_fighter_name,event_date,red_fighter_total_pts,blue_fighter_total_pts
NASSOURDINE IMAVOV,JOAQUIN BUCKLEY,2022-09-03,29 30 29,28 27 28
ROBERT WHITTAKER,MARVIN VETTORI,2022-09-03,30 30 29,27 27 28
ALESSIO DI CHIRICO,ROMAN KOPYLOV,2022-09-03,18 19 18,20 19 20
WILLIAM GOMIS,JARNO ERRENS,2022-09-03,29 29 29,29 28 28
MATHEUS NICOLAU,MATT SCHNELL,2022-12-03,10 10 10,9 9 9
TAI TUIVASA,SERGEI PAVLOVICH,2022-12-03,- - -,- - -
ERYK ANDERS,KYLE DAUKAUS,2022-12-03,10 10 10,9 9 9
JACK HERMANSSON,ROMAN DOLIDZE,2022-12-03,10 10 10,9 9 9
BRYAN BARBERENA,RAFAEL DOS ANJOS,2022-12-03,9 9 9,10 10 10
CLAY GUIDA,SCOTT HOLTZMAN,2022-12-03,28 29 29,29 28 28
MICHAEL JOHNSON,MARC DIAKIESE,2022-12-03,29 29 30,28 28 27
STEPHEN THOMPSON,KEVIN HOLLAND,2022-12-03,39 39 39,36 37 36
YAZMIN JAUREGUI,ISTELA NUNES,2022-12-03,9 9 9,10 10 10
ANGELA HILL,EMILY DUCOTE,2022-12-03,30 30 30,27 27 27
NIKO PRICE,PHIL ROWE,2022-12-03,18 18 18,20 20 20
MARCELO ROJO,FRANCIS MARSHALL,2022-12-03,9 9 9,10 10 10
NATAN LEVY,GENARO VALDEZ,2022-12-03,29 29 30,28 28 27
DARREN ELKINS,JONATHAN PEARCE,2022-12-03,27 27 26,30 30 30
YUSAKU KINOSHITA,ADAM FUGITT,2023-02-04,- - -,- - -
JEKA SARAGIH,ANSHUL JUBLI,2023-02-04,9 9 9,10 10 10
TOSHIOMI KAZAMA,RINYA NAKAMURA,2023-02-04,- - -,- - -
JEONGYEONG LEE,YIZHA,2023-02-04,29 27 29,28 30 28
TATSURO TAIRA,JESUS AGUILAR,2023-02-04,- - -,- - -
DOO HO CHOI,KYLE NELSON,2023-02-04,29 28 28,27 28 28
JUNYONG PARK,DENIS TIULIULIN,2023-02-04,- - -,- - -
SEUNGGUK CHOI,HYUNSUNG PARK,2023-02-04,19 19 18,19 19 20
MARCIN TYBURA,BLAGOY IVANOV,2023-02-04,29 29 30,28 28 27
DERRICK LEWIS,SERGHEI SPIVAC,2023-02-04,- - -,- - -
DA WOON JUNG,DEVIN CLARK,2023-02-04,27 27 27,30 30 30
JON JONES,CIRYL GANE,2023-03-04,- - -,- - -
VALENTINA SHEVCHENKO,ALEXA GRASSO,2023-03-04,29 29 29,28 28 28
DA'MON BLACKSHEAR,FARID BASHARAT,2023-03-04,28 28 28,29 29 29
ESTEBAN RIBOVICS,LOIK RADZHABOV,2023-03-04,28 28 28,29 29 29
JESSICA PENNE,TABATHA RICCI,2023-03-04,9 9 9,10 10 10
MANA MARTINEZ,CAMERON SAAIMAN,2023-03-04,26 28 27,29 28 28
VIVIANE ARAUJO,AMANDA RIBAS,2023-03-04,27 26 27,29 30 30
DEREK BRUNSON,DRICUS DU PLESSIS,2023-03-04,10 10 10,9 9 9
JULIAN MARQUEZ,MARC-ANDRE BARRIAULT,2023-03-04,10 10 10,9 9 9
IAN MACHADO GARRY,SONG KENAN,2023-03-04,19 19 19,19 19 19
CODY GARBRANDT,TREVIN JONES,2023-03-04,29 29 29,28 28 28
BO NICKAL,JAMIE PICKETT,2023-03-04,- - -,- - -
GEOFF NEAL,SHAVKAT RAKHMONOV,2023-03-04,18 18 18,20 20 20
MATEUSZ GAMROT,JALIN TURNER,2023-03-04,29 28 30,28 29 27
ALEXANDRE PANTOJA,STEVE ERCEG,2024-05-04,48 48 49,47 47 46
ISMAEL BONFIM,VINC PICHEL,2024-05-04,30 30 30,27 27 27
ALESSANDRO COSTA,KEVIN BORJAS,2024-05-04,10 10 10,9 9 9
ANTHONY SMITH,VITOR PETRINO,2024-05-04,- - -,- - -
JOAQUIM SILVA,DRAKKAR KLOSE,2024-05-04,28 28 28,29 29 29
ELVES BRENER,MYKTYBEK OROLBAI,2024-05-04,27 27 27,29 29 29
JOSE ALDO,JONATHAN MARTINEZ,2024-05-04,30 30 30,27 27 27
MAURICIO RUFFY,JAMIE MULLARKEY,2024-05-04,- - -,- - -
MICHEL PEREIRA,IHOR POTIERIA,2024-05-04,- - -,- - -
PAUL CRAIG,CAIO BORRALHO,2024-05-04,9 9 9,10 10 10
DIONE BARBOSA,ERNESTA KARECKAITE,2024-05-04,29 29 29,28 28 28
KAROLINA KOWALKIEWICZ,IASMIN LUCINDO,2024-05-04,27 27 27,30 30 30
JACK SHORE,JOANDERSON BRITO,2024-05-04,9 9 9,10 10 10
ALEXANDER VOLKOV,JAIRZINHO ROZENSTRUIK,2022-06-04,- - -,- - -
FELICE HERRIG,KAROLINA KOWALKIEWICZ,2022-06-04,9 9 9,10 10 10
JOE SOLECKI,ALEX DA SILVA,2022-06-04,28 29 28,27 27 28
DAN IGE,MOVSAR EVLOEV,2022-06-04,27 26 27,30 30 30
NIKLAS STOLZE,BENOIT SAINT DENIS,2022-06-04,9 9 9,10 10 10
KARINE SILVA,POLIANA BOTELHO,2022-06-04,- - -,- - -
