red_fighter_name,blue_fighter_name,event_date,red_fighter_total_pts,blue_fighter_total_pts
DAN ARGUETA,NICK AGUIRRE,2023-01-14,30 30 30,27 27 27
ALLAN NASCIMENTO,CARLOS HERNANDEZ,2023-01-14,- - -,- - -
PUNAHELE SORIANO,ROMAN KOPYLOV,2023-01-14,9 9 9,10 10 10
CHARLES JOHNSON,JIMMY FLICK,2023-01-14,- - -,- - -
UMAR NURMAGOMEDOV,RAONI BARCELOS,2023-01-14,- - -,- - -
JAVID BASHARAT,MATEUS MENDONCA,2023-01-14,30 30 29,27 27 28
MATEUSZ REBECKI,NICK FIORE,2023-01-14,30 30 30,26 27 27
CLAUDIO RIBEIRO,ABDUL RAZAK ALHASSAN,2023-01-14,9 9 9,10 10 10
TATSURO TAIRA,CARLOS CANDELARIO,2022-05-14,30 30 30,26 27 27
NICK MAXIMOV,ANDRE PETROSKI,2022-05-14,- -,- -
JAN BLACHOWICZ,ALEKSANDAR RAKIC,2022-05-14,19 19 19,19 19 19
DAVEY GRANT,LOUIS SMOLKA,2022-05-14,19 19 20,19 19 18
RYAN SPANN,ION CUTELABA,2022-05-14,- - -,- - -
KATLYN CERMINARA,AMANDA RIBAS,2022-05-14,28 29 29,29 28 28
FRANK CAMACHO,MANUEL TORRES,2022-05-14,- - -,- - -
VIRNA JANDIROBA,ANGELA HILL,2022-05-14,30 30 30,27 27 27
MICHAEL JOHNSON,ALAN PATRICK,2022-05-14,10 10 10,9 9 9
JAKE HADLEY,ALLAN NASCIMENTO,2022-05-14,27 27 27,30 30 30
VIVIANE ARAUJO,ANDREA LEE,2022-05-14,29 29 29,28 27 27
DANIEL ZELLHUBER,ESTEBAN RIBOVICS,2024-09-14,28 29 28,29 28 29
BRIAN ORTEGA,DIEGO LOPES,2024-09-14,26 27 27,30 30 30
SEAN O'MALLEY,MERAB DVALISHVILI,2024-09-14,46 47 47,49 48 48
YAZMIN JAUREGUI,KETLEN SOUZA,2024-09-14,- - -,- - -
MANUEL TORRES,IGNACIO BAHAMONDES,2024-09-14,- - -,- - -
EDGAR CHAIREZ,JOSHUA VAN,2024-09-14,28 28 28,29 29 29
ALEXA GRASSO,VALENTINA SHEVCHENKO,2024-09-14,29 29 29,28 28 28
RONALDO RODRIGUEZ,ODE OSBOURNE,2024-09-14,29 29 29,27 28 27
IRENE ALDANA,NORMA DUMONT,2024-09-14,27 27 27,30 30 30
RAUL ROSAS JR.,AORIQILENG,2024-09-14,29 29 29,28 28 28
CHRISTIAN RODRIGUEZ,CAMERON SAAIMAN,2023-10-14,30 29 30,27 28 27
DARREN ELKINS,TJ BROWN,2023-10-14,19 20 20,19 18 18
TAINARA LISBOA,RAVENA OLIVEIRA,2023-10-14,29 29 29,28 28 28
SODIQ YUSUFF,EDSON BARBOZA,2023-10-14,46 46 46,48 48 49
JENNIFER MAIA,VIVIANE ARAUJO,2023-10-14,28 28 28,29 29 29
TERRANCE MCKINNEY,BRENDON MAROTTE,2023-10-14,- - -,- - -
ANDRE PETROSKI,MICHEL PEREIRA,2023-10-14,- - -,- - -
CHRIS GUTIERREZ,ALATENGHEILI,2023-10-14,30 30 30,27 27 27
IRINA ALEKSEEVA,MELISSA MULLINS,2023-10-14,28 27 28,29 30 29
JONATHAN MARTINEZ,ADRIAN YANEZ,2023-10-14,10 10 10,9 9 9
ASHLEY YODER,EMILY DUCOTE,2023-10-14,27 28 28,30 29 29
KAY HANSEN,CORY MCKENNA,2020-11-14,28 28 28,29 29 29
RANDA MARKOS,KANAKO MURATA,2020-11-14,27 27 27,30 30 30
ALEX MORONO,RHYS MCKEE,2020-11-14,30 30 30,27 27 27
GERALDO DE FREITAS,TONY GRAVELY,2020-11-14,27 29 28,30 28 29
ASHLEY YODER,MIRANDA GRANGER,2020-11-14,30 29 29,26 27 27
BRENDAN ALLEN,SEAN STRICKLAND,2020-11-14,9 9 9,10 10 10
ABDUL RAZAK ALHASSAN,KHAOS WILLIAMS,2020-11-14,- - -,- - -
PAUL FELDER,RAFAEL DOS ANJOS,2020-11-14,48 45 45,47 50 50
DON'TALE MAYES,ROQUE MARTINEZ,2020-11-14,30 29 30,27 28 27
SEAN O'MALLEY,MARLON VERA,2020-08-15,- - -,- - -
STIPE MIOCIC,DANIEL CORMIER,2020-08-15,49 49 48,46 46 47
JUNIOR DOS SANTOS,JAIRZINHO ROZENSTRUIK,2020-08-15,10 10 9,9 9 10
HERBERT BURNS,DANIEL PINEDA,2020-08-15,8 8 8,10 10 10
CHRIS DAUKAUS,PARKER PORTER,2020-08-15,- - -,- - -
KAI KAMAKA,TONY KELLEY,2020-08-15,29 29 29,28 28 28
JOHN DODSON,MERAB DVALISHVILI,2020-08-15,27 27 27,30 30 30
JIM MILLER,VINC PICHEL,2020-08-15,27 28 28,29 29 29
FELICE HERRIG,VIRNA JANDIROBA,2020-08-15,- - -,- - -
TJ BROWN,DANNY CHAVEZ,2020-08-15,28 28 28,29 29 29
ASHLEY YODER,LIVINHA SOUZA,2020-08-15,28 27 28,29 30 29
CALVIN KATTAR,GIGA CHIKADZE,2022-01-15,50 50 50,45 45 44
BRANDON ROYVAL,ROGERIO BONTORIN,2022-01-15,29 28 29,28 29 28
JAKE COLLIER,CHASE SHERMAN,2022-01-15,- -,- -
BILL ALGEO,JOANDERSON BRITO,2022-01-15,30 29 29,27 28 28
JAMIE PICKETT,JOSEPH HOLMES,2022-01-15,29 29 29,28 28 28
DAKOTA BUSH,VIACHESLAV BORSHCHEV,2022-01-15,- - -,- - -
KATLYN CERMINARA,JENNIFER MAIA,2022-01-15,30 30 30,27 27 27
TJ BROWN,CHARLES ROSA,2022-01-15,29 29 29,28 28 28
BRIAN KELLEHER,KEVIN CROOM,2022-01-15,30 30 29,27 27 28
COURT MCGEE,RAMIZ BRAHIMAJ,2022-01-15,30 30 30,27 27 27
PEDRO MUNHOZ,CHRIS GUTIERREZ,2023-04-15,30 30 30,27 27 27
CLAY GUIDA,RAFA GARCIA,2023-04-15,27 27 27,30 30 30
AARON PHILLIPS,GASTON BOLANOS,2023-04-15,28 27 27,29 30 30
JOSELYNE EDWARDS,LUCIE PUDILOVA,2023-04-15,29 28 29,28 29 28
BRUNA BRASIL,DENISE GOMES,2023-04-15,9 9 9,10 10 10
LANDO VANNATA,DANIEL ZELLHUBER,2023-04-15,27 28 27,29 29 30
BILL ALGEO,TJ BROWN,2023-04-15,9 9 9,10 10 10
MAX HOLLOWAY,ARNOLD ALLEN,2023-04-15,49 48 49,46 47 46
EDSON BARBOZA,BILLY QUARANTILLO,2023-04-15,- - -,- - -
BRANDON ROYVAL,MATHEUS NICOLAU,2023-04-15,- - -,- - -
TANNER BOSER,ION CUTELABA,2023-04-15,- - -,- - -
GILLIAN ROBERTSON,PIERA RODRIGUEZ,2023-04-15,10 9 10,9 10 9
ZAK CUMMINGS,ED HERMAN,2023-04-15,20 20 20,17 16 17
DUSTIN JACOBY,AZAMAT MURZAKANOV,2023-04-15,28 28 28,29 29 29
JACARE SOUZA,ANDRE MUNIZ,2021-05-15,- - -,- - -
LANDO VANNATA,MIKE GRUNDY,2021-05-15,29 27 30,28 30 27
ANDREA LEE,ANTONINA SHEVCHENKO,2021-05-15,10 10 10,9 9 9
JORDAN WRIGHT,JAMIE PICKETT,2021-05-15,- - -,- - -
CHRISTOS GIAGOS,SEAN SORIANO,2021-05-15,9 9 10,10 10 9
KEVIN AGUILAR,TUCKER LUTZ,2021-05-15,27 30 28,30 28 29
SHANE BURGOS,EDSON BARBOZA,2021-05-15,18 19 18,20 19 20
KATLYN CERMINARA,VIVIANE ARAUJO,2021-05-15,29 29 30,28 28 27
GINA MAZANY,PRISCILA CACHOEIRA,2021-05-15,10 10 10,9 9 9
CHARLES OLIVEIRA,MICHAEL CHANDLER,2021-05-15,8 8 9,10 10 10
TONY FERGUSON,BENEIL DARIUSH,2021-05-15,27 27 27,30 30 30
MATT SCHNELL,ROGERIO BONTORIN,2021-05-15,27 28 27,30 29 30
DOUGLAS SILVA DE ANDRADE,MILES JOHNS,2024-06-15,27 27 28,30 30 29
MELQUIZAEL COSTA,SHAYILAN NUERDANBIEKE,2024-06-15,29 29 29,28 28 28
ALEX PEREZ,TATSURO TAIRA,2024-06-15,10 10 10,9 9 9
ASU ALMABAYEV,JOSE JOHNSON,2024-06-15,30 30 30,27 27 27
JOSEFINE KNUTSSON,JULIA POLASTRI,2024-06-15,29 29 29,28 28 28
JOSH QUINLAN,ADAM FUGITT,2024-06-15,28 28 29,29 29 28
JOSEFINE KNUTSSON,JULIA POLASTRI,2024-06-15,29 29 29,28 28 28
BRADY HIESTAND,GARRETT ARMFIELD,2024-06-15,19 19 19,19 19 19
TIMMY CUAMBA,LUCAS ALMEIDA,2024-06-15,28 28 28,29 29 29
JEKA SARAGIH,WESTIN WILSON,2024-06-15,- - -,- - -
CARLI JUDICE,GABRIELLA FERNANDES,2024-06-15,28 29 28,29 28 29
JIMMY FLICK,NATE MANESS,2024-06-15,27 27 28,30 30 29
VIKTORIIA DUDAKOVA,ISTELA NUNES,2023-07-15,- -,- -
ASHLEE EVANS-SMITH,AILIN PEREZ,2023-07-15,25 25 26,30 30 30
TUCKER LUTZ,MELSIK BAGHDASARYAN,2023-07-15,28 28 28,29 29 29
TYSON NAM,AZAT MAKSUM,2023-07-15,28 28 29,29 29 28
NORMA DUMONT,CHELSEA CHANDLER,2023-07-15,30 30 30,27 27 27
NAZIM SADYKHOV,TERRANCE MCKINNEY,2023-07-15,9 9 9,10 10 10
ALEXANDER MUNOZ,CARL DEATON,2023-07-15,30 30 29,26 27 28
JACK DELLA MADDALENA,BASSIL HAFEZ,2023-07-15,28 29 29,29 28 28
HOLLY HOLM,MAYRA BUENO SILVA,2023-07-15,10 10 10,9 9 9
OTTMAN AZAITAR,FRANCISCO PRADO,2023-07-15,- - -,- - -
ALBERT DURAEV,JUNYONG PARK,2023-07-15,9 10 6,10 9 10
AUSTIN LINGO,MELQUIZAEL COSTA,2023-07-15,26 27 27,30 30 30
EVAN ELDER,GENARO VALDEZ,2023-07-15,30 29 29,26 28 28
CUB SWANSON,JONATHAN MARTINEZ,2022-10-15,9 9 9,10 10 10
JORDAN WRIGHT,DUSKO TODOROVIC,2022-10-15,10 10 10,9 9 8
ALEXA GRASSO,VIVIANE ARAUJO,2022-10-15,50 49 49,45 46 46
MISHA CIRKUNOV,ALONZO MENIFIELD,2022-10-15,- - -,- - -
RAPHAEL ASSUNCAO,VICTOR HENRY,2022-10-15,30 30 30,27 27 27
NICK MAXIMOV,JACOB MALKOUN,2022-10-15,27 27 27,30 30 30
MANA MARTINEZ,BRANDON DAVIS,2022-10-15,29 29 28,28 28 29
JOANDERSON BRITO,LUCAS ALEXANDER,2022-10-15,- - -,- - -
PIERA RODRIGUEZ,SAM HUGHES,2022-10-15,29 29 29,28 28 28
MIKE JACKSON,PETE RODRIGUEZ,2022-10-15,- - -,- - -
TATSURO TAIRA,CJ VERGARA,2022-10-15,10 10 10,9 9 9
STIPE MIOCIC,DANIEL CORMIER,2020-08-15,49 49 48,46 46 47
JUNIOR DOS SANTOS,JAIRZINHO ROZENSTRUIK,2020-08-15,10 10 10,9 9 10
CHRIS DAUKUS,PARKER PORTER,2020-08-15,- - -,- - -
KAI KAMAKA,TONY KELLEY,2020-08-15,29 29 29,28 28 28
JOSH CULIBAO,DANNY SILVA,2024-03-16,28 29 28,29 28 29
JAQUELINE AMORIM,CORY MCKENNA,2024-03-16,- - -,- - -
TAI TUIVASA,MARCIN TYBURA,2024-03-16,- - -,- - -
OVINCE SAINT PREUX,KENNEDY NZECHUKWU,2024-03-16,29 28 29,28 29 28
BRYAN BATTLE,ANGE LOOSA,2024-03-16,10 10 10,9 9 9
CHRISTIAN RODRIGUEZ,ISAAC DULGARIAN,2024-03-16,28 27 28,27 28 27
PANNIE KIANZAD,MACY CHIASSON,2024-03-16,- - -,- - -
JAFEL FILHO,ODE OSBOURNE,2024-03-16,- - -,- - -
JOSIANE NUNES,CHELSEA CHANDLER,2024-03-16,28 28 28,29 29 29
GERALD MEERSCHAERT,BRYAN BARBERENA,2024-03-16,10 10 10,9 9 9
THIAGO MOISES,MITCH RAMIREZ,2024-03-16,20 20 20,18 18 18
CHARALAMPOS GRIGORIOU,CHAD ANHELIGER,2024-03-16,28 27 28,29 30 29
NATAN LEVY,MIKE DAVIS,2024-03-16,9 9 9,10 10 10
MIGUEL BAEZA,ANDRE FIALHO,2022-04-16,- - -,- - -
DRAKKAR KLOSE,BRANDON JENKINS,2022-04-16,10 10 10,8 8 8
RAFA GARCIA,JESSE RONSON,2022-04-16,10 10 10,9 9 9
MAYRA BUENO SILVA,WU YANAN,2022-04-16,29 29 30,28 28 27
JORDAN LEAVITT,TREY OGDEN,2022-04-16,29 29 28,28 28 29
CHRIS BARNETT,MARTIN BUDAY,2022-04-16,27 27 27,30 30 30
DEVIN CLARK,WILLIAM KNIGHT,2022-04-16,19 19 19,19 19 19
LINA LANSBERG,PANNIE KIANZAD,2022-04-16,28 28 28,29 29 29
MOUNIR LAZZEZ,ANGE LOOSA,2022-04-16,30 30 30,27 27 27
PAT SABATINI,TJ LARAMIE,2022-04-16,30 30 30,26 26 26
CAIO BORRALHO,GADZHI OMARGADZHIEV,2022-04-16,29 29 29,27 27 27
VICENTE LUQUE,BELAL MUHAMMAD,2022-04-16,46 46 47,49 49 48
ISTELA NUNES,SAM HUGHES,2022-04-16,27 27 28,29 29 28
ALATENGHEILI,KEVIN CROOM,2022-04-16,- - -,- - -
PUNAHELE SORIANO,DALCHA LUNGIAMBULA,2022-07-16,9 9 6,10 10 10
LAUREN MURPHY,MIESHA TATE,2022-07-16,30 29 30,27 28 27
JESSICA PENNE,EMILY DUCOTE,2022-07-16,28 28 27,29 29 30
RICKY SIMON,JACK SHORE,2022-07-16,10 10 10,9 9 9
BILL ALGEO,HERBERT BURNS,2022-07-16,10 10 10,9 9 9
DWIGHT GRANT,DUSTIN STOLTZFUS,2022-07-16,28 28 28,29 29 29
DUSTIN JACOBY,DA WOON JUNG,2022-07-16,- - -,- - -
BRIAN ORTEGA,YAIR RODRIGUEZ,2022-07-16,- - -,- - -
MATT SCHNELL,SUMUDAERJI,2022-07-16,10 10 10,9 9 9
SHANE BURGOS,CHARLES JOURDAIN,2022-07-16,29 29 28,28 28 28
LI JINGLIANG,MUSLIM SALIKHOV,2022-07-16,9 9 9,10 10 10
MICHELLE WATERSON-GOMEZ,AMANDA LEMOS,2022-07-16,10 10 9,9 9 10
JOSEFINE KNUTSSON,MARNIC MANN,2023-09-16,30 30 30,24 25 27
DANIEL ZELLHUBER,CHRISTOS GIAGOS,2023-09-16,9 9 9,10 10 10
ALEX REYES,CHARLIE CAMPBELL,2023-09-16,- - -,- - -
TRACY CORTEZ,JASMINE JASUDAVICIUS,2023-09-16,30 30 29,27 27 28
RAUL ROSAS JR.,TERRENCE MITCHELL,2023-09-16,- - -,- - -
FERNANDO PADILLA,KYLE NELSON,2023-09-16,28 28 27,29 29 30
LOOPY GODINEZ,ELISE REED,2023-09-16,10 10 10,8 9 8
EDGAR CHAIREZ,DANIEL LACERDA,2023-09-16,- - -,- - -
ROMAN KOPYLOV,JOSH FREMD,2023-09-16,10 10 10,9 9 9
ALEXA GRASSO,VALENTINA SHEVCHENKO,2023-09-16,47 47 48,47 48 47
KEVIN HOLLAND,JACK DELLA MADDALENA,2023-09-16,29 28 28,28 29 29
ANDREW SANCHEZ,BRUNO SILVA,2021-10-16,19 19 20,19 19 18
NATE LANDWEHR,LUDOVIT KLEIN,2021-10-16,20 20 19,18 18 19
LOOPY GODINEZ,LUANA CAROLINA,2021-10-16,28 28 28,29 29 29
ANDREI ARLOVSKI,CARLOS FELIPE,2021-10-16,29 29 29,28 28 28
ASPEN LADD,NORMA DUMONT,2021-10-16,46 46 47,49 49 48
DANNY ROBERTS,RAMAZAN EMEEV,2021-10-16,28 30 29,29 27 28
JIM MILLER,ERICK GONZALEZ,2021-10-16,10 9 9,9 10 10
BATGEREL DANAA,BRANDON DAVIS,2021-10-16,- - -,- - -
ISTELA NUNES,ARIANE CARNELOSSI,2021-10-16,19 19 20,19 19 18
MANON FIOROT,MAYRA BUENO SILVA,2021-10-16,30 30 30,26 27 27
LEON EDWARDS,COLBY COVINGTON,2023-12-16,49 49 49,46 46 46
TAGIR ULANBEKOV,CODY DURDEN,2023-12-16,10 10 10,9 9 9
ANDRE FILI,LUCAS ALMEIDA,2023-12-16,- - -,- - -
ALONZO MENIFIELD,DUSTIN JACOBY,2023-12-16,29 29 29,28 28 28
MARTIN BUDAY,SHAMIL GAZIEV,2023-12-16,8 8 8,10 10 10
IRENE ALDANA,KAROL ROSA,2023-12-16,29 29 29,28 28 28
CASEY O'NEILL,ARIANE DA SILVA,2023-12-16,9 9 9,10 10 10
CODY GARBRANDT,BRIAN KELLEHER,2023-12-16,- - -,- - -
TONY FERGUSON,PADDY PIMBLETT,2023-12-16,27 27 27,30 30 30
JOSH EMMETT,BRYCE MITCHELL,2023-12-16,- - -,- - -
SHAVKAT RAKHMONOV,STEPHEN THOMPSON,2023-12-16,10 10 10,9 9 9
ALEXANDRE PANTOJA,BRANDON ROYVAL,2023-12-16,49 50 50,46 45 45
ALEXANDER VOLKANOVSKI,ILIA TOPURIA,2024-02-17,10 10 10,9 9 9
OBAN ELLIOTT,VAL WOODBURN,2024-02-17,30 29 30,27 28 27
ANDREA LEE,MIRANDA MAVERICK,2024-02-17,28 27 27,29 30 30
JOSH QUINLAN,DANNY BARLOW,2024-02-17,18 18 18,20 20 20
RINYA NAKAMURA,CARLOS VERA,2024-02-17,30 30 30,27 27 27
ZHANG MINGYANG,BRENDSON RIBEIRO,2024-02-17,- - -,- - -
MARCOS ROGERIO DE LIMA,JUNIOR TAFA,2024-02-17,10 10 10,9 9 8
AMANDA LEMOS,MACKENZIE DERN,2024-02-17,29 29 29,28 28 28
ROBERT WHITTAKER,PAULO COSTA,2024-02-17,29 29 30,28 28 27
GEOFF NEAL,IAN MACHADO GARRY,2024-02-17,27 29 27,30 28 30
ANTHONY HERNANDEZ,ROMAN KOPYLOV,2024-02-17,10 10 9,9 9 10
MERAB DVALISHVILI,HENRY CEJUDO,2024-02-17,29 29 29,28 28 28
AUSTIN HUBBARD,DAKOTA BUSH,2021-04-17,29 29 29,28 28 28
TONY GRAVELY,ANTHONY BIRCHAK,2021-04-17,10 10 10,9 9 8
ABDUL RAZAK ALHASSAN,JACOB MALKOUN,2021-04-17,27 27 27,30 30 30
LUIS PENA,ALEXANDER MUNOZ,2021-04-17,28 29 29,29 28 28
ANDREI ARLOVSKI,CHASE SHERMAN,2021-04-17,29 29 29,28 28 28
ROBERT WHITTAKER,KELVIN GASTELUM,2021-04-17,50 50 50,45 45 45
TRACY CORTEZ,JUSTINE KISH,2021-04-17,29 28 30,28 29 27
ALEXANDR ROMANOV,JUAN ESPINO,2021-04-17,29 19 29,28 19 28
BARTOSZ FABINSKI,GERALD MEERSCHAERT,2021-04-17,- - -,- - -
JESSICA PENNE,LOOPY GODINEZ,2021-04-17,29 29 28,28 28 29
ARMEN PETROSYAN,CHRISTIAN LEROY DUNCAN,2023-06-17,29 29 30,28 28 27
ARMAN TSARUKYAN,JOAQUIM SILVA,2023-06-17,19 19 19,19 19 19
MARVIN VETTORI,JARED CANNONIER,2023-06-17,45 45 46,49 49 48
MANUEL TORRES,NIKOLAS MOTTA,2023-06-17,- - -,- - -
PAT SABATINI,LUCAS ALMEIDA,2023-06-17,10 10 10,8 8 8
NICOLAS DALBY,MUSLIM SALIKHOV,2023-06-17,29 30 30,28 27 27
JIMMY FLICK,ALESSANDRO COSTA,2023-06-17,9 9 9,10 10 10
CARLOS HERNANDEZ,DENYS BONDAR,2023-06-17,30 29 30,27 28 27
KYUNG HO KANG,CRISTIAN QUINONEZ,2023-06-17,- - -,- - -
TEREZA BLEDA,GABRIELLA FERNANDES,2023-06-17,30 30 30,27 27 27
DAN ARGUETA,RONNIE LAWRENCE,2023-06-17,- - -,- - -
ZAC PAUGA,MODESTAS BUKAUSKAS,2023-06-17,28 28 27,29 29 30
FRANCISCO FIGUEIREDO,MALCOLM GORDON,2021-07-17,27 28 28,30 29 29
DANIEL RODRIGUEZ,PRESTON PARSONS,2021-07-17,- - -,- - -
KHALID TAHA,SERGEY MOROZOV,2021-07-17,30 29 29,27 28 28
AMANDA LEMOS,MONTSERRAT CONEJO RUIZ,2021-07-17,- - -,- - -
JEREMY STEPHENS,MATEUSZ GAMROT,2021-07-17,- - -,- - -
MARION RENEAU,MIESHA TATE,2021-07-17,18 18 18,20 20 20
RODOLFO VIEIRA,DUSTIN STOLTZFUS,2021-07-17,19 19 19,19 19 19
GABRIEL BENITEZ,BILLY QUARANTILLO,2021-07-17,18 18 18,20 20 20
ISLAM MAKHACHEV,THIAGO MOISES,2021-07-17,30 30 30,27 27 27
NIKOLAS MOTTA,CAMERON VANCAMP,2022-09-17,- - -,- - -
TONY GRAVELY,JAVID BASHARAT,2022-09-17,28 28 28,29 29 29
DAMON JACKSON,PAT SABATINI,2022-09-17,- - -,- - -
ANTHONY HERNANDEZ,MARC-ANDRE BARRIAULT,2022-09-17,20 20 20,18 18 18
MARIYA AGAPOVA,GILLIAN ROBERTSON,2022-09-17,10 10 10,9 9 9
TREY OGDEN,DANIEL ZELLHUBER,2022-09-17,30 29 30,27 28 27
TREVIN GILES,LOUIS COSCE,2022-09-17,29 30 29,28 27 28
DENISE GOMES,LOMA LOOKBOONMEE,2022-09-17,27 27 28,30 30 29
CORY SANDHAGEN,SONG YADONG,2022-09-17,38 39 38,38 37 38
ANDRE FILI,BILL ALGEO,2022-09-17,29 28 29,28 29 28
CHIDI NJOKUANI,GREGORY RODRIGUES,2022-09-17,9 9 9,10 10 10
JOE PYFER,ALEN AMEDOVSKI,2022-09-17,- - -,- - -
TANNER BOSER,RODRIGO NASCIMENTO,2022-09-17,29 28 27,28 29 30
DREW DOBER,KING GREEN,2022-12-17,9 9 9,10 10 10
ALEX CACERES,JULIAN EROSA,2022-12-17,- - -,- - -
ARMAN TSARUKYAN,DAMIR ISMAGULOV,2022-12-17,30 30 30,27 27 27
AMIR ALBAZI,ALESSANDRO COSTA,2022-12-17,20 19 19,18 19 19
JARED CANNONIER,SEAN STRICKLAND,2022-12-17,49 46 49,46 49 46
RAFA GARCIA,MAHESHATE,2022-12-17,30 30 30,27 27 27
BRYAN BATTLE,RINAT FAKHRETDINOV,2022-12-17,25 25 27,30 30 30
SAID NURMAGOMEDOV,SAIDYOKUB KAKHRAMONOV,2022-12-17,9 9 9,10 10 10
JAKE MATTHEWS,MATTHEW SEMELSBERGER,2022-12-17,28 28 27,29 29 30
CODY BRUNDAGE,MICHAL OLEKSIEJCZUK,2022-12-17,- - -,- - -
DAVID DVORAK,MANEL KAPE,2022-12-17,27 27 28,30 30 29
SERGEY MOROZOV,JOURNEY NEWSON,2022-12-17,30 29 29,27 28 28
CHEYANNE VLISMAS,CORY MCKENNA,2022-12-17,28 28 28,29 29 29
NAZIM SADYKHOV,EVAN ELDER,2023-02-18,18 18 18,20 20 20
JIM MILLER,ALEXANDER HERNANDEZ,2023-02-18,28 27 27,29 30 30
JOSH PARISIAN,JAMAL POGUES,2023-02-18,28 27 27,29 30 30
WILLIAM KNIGHT,MARCIN PRACHNIO,2023-02-18,27 27,30 30
JESSICA ANDRADE,ERIN BLANCHFIELD,2023-02-18,10 9 9,9 10 10
JORDAN WRIGHT,ZAC PAUGA,2023-02-18,27 28 27,30 29 30
AJ FLETCHER,THEMBA GORIMBO,2023-02-18,10 10 10,9 9 9
OVINCE SAINT PREUX,PHILIPE LINS,2023-02-18,- - -,- - -
CLAYTON CARPENTER,JUANCAMILO RONDEROS,2023-02-18,- - -,- - -
LINA LANSBERG,MAYRA BUENO SILVA,2023-02-18,9 9 6,10 10 10
JAMALL EMMERS,KHUSEIN ASKHABOV,2023-02-18,30 30 30,27 27 27
LEON EDWARDS,KAMARU USMAN,2023-03-18,4948 48 47,46 46 47
JULIANA MILLER,VERONICA HARDY,2023-03-18,27 27 27,30 30 30
JUSTIN GAETHJE,RAFAEL FIZIEV,2023-03-18,29 28 29,28 28 28
JENNIFER MAIA,CASEY O'NEILL,2023-03-18,29 29 30,28 28 27
GUNNAR NELSON,BRYAN BARBERENA,2023-03-18,- - -,- - -
JOANNE WOOD,LUANA CAROLINA,2023-03-18,29 30 28,28 27 29
CHRIS DUNCAN,OMAR MORALES,2023-03-18,29 29 27,28 28 30
SAM PATTERSON,YANAL ASHMOUZ,2023-03-18,- - -,- - -
JAI HERBERT,LUDOVIT KLEIN,2023-03-18,28 29 28,28 27 28
JACK SHORE,MAKWAN AMIRKHANI,2023-03-18,9 9 9,10 10 10
JAKE HADLEY,MALCOLM GORDON,2023-03-18,- - -,- - -
CHRISTIAN LEROY DUNCAN,DUSKO TODOROVIC,2023-03-18,- - -,- - -
MARVIN VETTORI,ROMAN DOLIDZE,2023-03-18,29 29 30,28 28 27
LERONE MURPHY,GABRIEL SANTOS,2023-03-18,28 29 29,29 28 28
MUHAMMAD MOKAEV,JAFEL FILHO,2023-03-18,19 20 19,19 18 19
EDSON BARBOZA,LERONE MURPHY,2024-05-18,46 45 45,49 50 50
PIERA RODRIGUEZ,ARIANE CARNELOSSI,2024-05-18,10 10 10,9 9 9
ALATENGHEILI,KLEYDSON RODRIGUES,2024-05-18,30 30 29,27 27 28
ADRIAN YANEZ,VINICIUS SALVADOR,2024-05-18,- - -,- - -
LUANA PINHEIRO,ANGELA HILL,2024-05-18,9 9 9,10 10 10
THEMBA GORIMBO,RAMIZ BRAHIMAJ,2024-05-18,30 30 30,27 27 27
KHAOS WILLIAMS,CARLSTON HARRIS,2024-05-18,- - -,- - -
VICTOR MARTINEZ,TOM NOLAN,2024-05-18,- - -,- - -
VANESSA DEMOPOULOS,EMILY DUCOTE,2024-05-18,28 29 29,29 28 28
OUMAR SY,TUCO TOKKOS,2024-05-18,- - -,- - -
ABUS MAGOMEDOV,WARLLEY ALVES,2024-05-18,30 30 30,26 26 26
TAMIRES VIDAL,MELISSA GATTO,2024-05-18,18 18 18,20 20 20
COURT MCGEE,JEREMIAH WELLS,2022-06-18,- - -,- - -
ROMAN DOLIDZE,KYLE DAUKAUS,2022-06-18,- - -,- - -
JASMINE JASUDAVICIUS,NATALIA SILVA,2022-06-18,26 27 27,30 30 30
EDDIE WINELAND,CODY STAMANN,2022-06-18,- - -,- - -
JULIAN MARQUEZ,GREGORY RODRIGUES,2022-06-18,- - -,- - -
ADRIAN YANEZ,TONY KELLEY,2022-06-18,- - -,- - -
PHIL HAWES,DERON WINN,2022-06-18,10 10 10,8 9 9
TIM MEANS,KEVIN HOLLAND,2022-06-18,9 9 9,10 10 10
CALVIN KATTAR,JOSH EMMETT,2022-06-18,47 48 47,48 47 48
JOAQUIN BUCKLEY,ALBERT DURAEV,2022-06-18,20 20 20,18 18 18
DAMIR ISMAGULOV,GURAM KUTATELADZE,2022-06-18,28 29 30,29 28 27
RICARDO RAMOS,DANNY CHAVEZ,2022-06-18,- - -,- - -
MARIA OLIVEIRA,GLORIA DE PAULA,2022-06-18,29 28 29,28 29 28
CASEY O'NEILL,LUANA SANTOS,2024-08-18,30 30 30,26 27 27
JOSH CULIBAO,RICARDO RAMOS,2024-08-18,29 28 28,28 29 29
JACK JENKINS,HERBERT BURNS,2024-08-18,20 20 20,18 17 18
TOM NOLAN,ALEX REYES,2024-08-18,30 30 29,27 27 28
JUNIOR TAFA,VALTER WALKER,2024-08-18,- - -,- - -
LI JINGLIANG,CARLOS PRATES,2024-08-18,9 9 9,10 10 10
MATEUSZ GAMROT,DAN HOOKER,2024-08-18,28 28 29,29 29 28
