fighter_name,height,weight,reach,stance,date_of_birth,slpm,str_acc,sapm,str_def,takedowns_avg,takedowns_acc,takedowns_def,sub_avg,str_acc_num,takedowns_acc_num,weight_lbs,reach_inches
Oleksandr Doskalchuk,"5' 6""",125 lbs.,,Southpaw,1990-03-13,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,125.0,
Tiago dos Santos e Silva,"5' 9""",145 lbs.,"70""",Orthodox,1987-04-12,3.69,35%,4.23,59%,0.63,11%,33%,0.3,35.0,11.0,145.0,70.0
Junior Dos Santos,"6' 4""",238 lbs.,"77""",Orthodox,1984-01-30,4.49,47%,3.33,56%,0.3,50%,81%,0.1,47.0,50.0,238.0,77.0
Rafael Dos Anjos,"5' 8""",155 lbs.,"70""",Southpaw,1984-10-26,3.49,46%,3.22,61%,1.93,37%,58%,0.6,46.0,37.0,155.0,70.0
David Douglas,"5' 11""",155 lbs.,,,1981-08-16,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,155.0,
Jordan Dowdy,,170 lbs.,,,,2.11,44%,2.63,50%,0.0,0%,0%,0.0,44.0,0.0,170.0,
Damion Douglas,,170 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,170.0,
Derek Downey,"6' 1""",185 lbs.,,Orthodox,1980-04-27,0.32,100%,3.36,12%,2.4,16%,0%,0.0,100.0,16.0,185.0,
John Dowdy,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,,
John Doyle,"5' 11""",205 lbs.,,Orthodox,1976-11-21,3.5,44%,10.51,27%,0.0,0%,0%,0.0,44.0,0.0,205.0,
Kyle Driscoll,"5' 11""",145 lbs.,"74""",Orthodox,1994-09-23,2.73,32%,2.6,58%,2.0,18%,0%,0.0,32.0,18.0,145.0,74.0
Edson Drago,"6' 4""",220 lbs.,,Orthodox,1977-08-29,1.16,40%,2.39,36%,0.0,0%,55%,0.0,40.0,0.0,220.0,
Danny Downes,"6' 0""",155 lbs.,"72""",Orthodox,1986-04-08,1.66,34%,3.53,37%,0.0,0%,37%,0.5,34.0,0.0,155.0,72.0
Chris Drumm,"5' 8""",145 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,145.0,
Hugo Duarte,"6' 0""",240 lbs.,,Orthodox,1968-08-09,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,240.0,
Tomasz Drwal,"6' 1""",205 lbs.,"76""",Orthodox,1982-01-22,3.29,38%,2.26,57%,3.55,60%,82%,0.4,38.0,60.0,205.0,76.0
Robert Drysdale,"6' 3""",205 lbs.,,Orthodox,1981-10-05,0.0,0%,0.0,0%,7.32,100%,0%,21.9,0.0,100.0,205.0,
Dricus Du Plessis,"6' 1""",185 lbs.,"76""",Switch,1994-01-14,7.72,44%,4.16,67%,0.0,0%,0%,0.0,44.0,0.0,185.0,76.0
Joe Duarte,,155 lbs.,,,1977-01-25,2.27,38%,4.0,53%,3.0,50%,69%,1.0,38.0,50.0,155.0,
Antonio Duarte,"5' 7""",135 lbs.,,,,4.55,40%,4.18,57%,0.0,0%,60%,0.0,40.0,0.0,135.0,
Norma Dumont,"5' 7""",135 lbs.,"67""",Orthodox,1990-10-01,5.35,55%,2.65,72%,2.43,42%,100%,0.0,55.0,42.0,135.0,67.0
Jessamyn Duke,"5' 11""",135 lbs.,"73""",Orthodox,1986-06-24,4.83,53%,4.43,57%,1.27,36%,50%,1.9,53.0,36.0,135.0,73.0
Adin Duenas,"5' 6""",145 lbs.,,,1988-07-02,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,145.0,
Joe Duffy,"5' 10""",155 lbs.,"73""",Orthodox,1988-02-18,2.68,34%,3.78,54%,0.96,66%,64%,0.7,34.0,66.0,155.0,73.0
Milana Dudieva,"5' 3""",135 lbs.,,Orthodox,1989-08-04,0.87,31%,3.43,58%,2.34,45%,0%,0.0,31.0,45.0,135.0,
Todd Duffee,"6' 3""",260 lbs.,"78""",Orthodox,1985-12-06,5.93,37%,2.87,56%,0.72,25%,90%,0.0,37.0,25.0,260.0,78.0
Alexis Dufresne,"5' 9""",135 lbs.,,Orthodox,1990-08-31,1.33,27%,3.33,60%,1.5,50%,50%,0.0,27.0,50.0,135.0,
Kelly Dullanty,"5' 8""",155 lbs.,,Orthodox,1977-11-04,0.0,0%,0.67,75%,0.0,0%,66%,0.0,0.0,0.0,155.0,
Alex Dunworth,"5' 8""",155 lbs.,,,,1.94,31%,8.71,35%,0.0,0%,50%,0.0,31.0,0.0,155.0,
Cody Durden,"5' 7""",125 lbs.,"67""",Southpaw,1991-03-29,3.11,48%,3.93,41%,3.28,26%,50%,0.8,48.0,26.0,125.0,67.0
Luiz Dutra,"5' 11""",170 lbs.,,Orthodox,1982-05-06,3.92,50%,4.8,41%,0.0,0%,100%,0.0,50.0,0.0,170.0,
Reuben Duran,"5' 7""",135 lbs.,"71""",Orthodox,1983-07-02,3.19,49%,2.61,50%,0.98,23%,25%,0.7,49.0,23.0,135.0,71.0
Rilley Dutro,"5' 8""",125 lbs.,,Orthodox,1987-09-03,4.74,54%,5.95,33%,0.0,0%,83%,0.0,54.0,0.0,125.0,
Tom Duquesnoy,"5' 7""",135 lbs.,"68""",Orthodox,1993-06-21,3.83,45%,5.3,62%,0.42,25%,46%,0.0,45.0,25.0,135.0,68.0
Evan Dunham,"5' 10""",155 lbs.,"70""",Southpaw,1981-12-18,5.33,39%,3.54,61%,1.82,33%,79%,1.0,39.0,33.0,155.0,70.0
Bill Duvall,"6' 2""",185 lbs.,,Southpaw,,0.0,0%,2.4,40%,0.0,0%,0%,0.0,0.0,0.0,185.0,
David Dvorak,"5' 5""",125 lbs.,"68""",Orthodox,1992-06-05,4.5,48%,3.17,63%,0.0,0%,75%,0.0,48.0,0.0,125.0,68.0
Matt Dwyer,"6' 4""",170 lbs.,"76""",Orthodox,1989-12-17,2.57,34%,3.24,54%,0.44,10%,60%,0.0,34.0,10.0,170.0,76.0
Merab Dvalishvili,"5' 6""",135 lbs.,"68""",Orthodox,1991-01-10,3.91,39%,2.08,61%,7.71,43%,80%,0.3,39.0,43.0,135.0,68.0
Ben Earwood,"5' 8""",170 lbs.,,Orthodox,,0.5,55%,0.2,33%,3.0,100%,0%,0.0,55.0,100.0,170.0,
Rolando Dy,"5' 8""",145 lbs.,"69""",Orthodox,1990-08-11,3.04,37%,4.47,52%,0.3,20%,68%,0.0,37.0,20.0,145.0,69.0
Cody East,"6' 3""",245 lbs.,,Orthodox,1988-06-29,4.15,43%,7.32,40%,3.97,100%,16%,0.0,43.0,100.0,245.0,
Mike Easton,"5' 6""",135 lbs.,"70""",Southpaw,1984-01-25,3.51,37%,4.28,61%,0.75,22%,66%,0.0,37.0,22.0,135.0,70.0
Marvin Eastman,"5' 9""",185 lbs.,"73""",Orthodox,1971-06-08,2.21,35%,3.92,42%,1.38,33%,81%,0.0,35.0,33.0,185.0,73.0
Vincent Eazelle,"5' 11""",155 lbs.,,,1980-12-07,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,155.0,
Maurice Eazel,"5' 7""",135 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,135.0,
Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,1980-11-27,2.32,49%,2.14,56%,1.7,23%,61%,0.1,49.0,23.0,170.0,73.0
Ross Ebanez,"5' 9""",154 lbs.,,Southpaw,1975-05-18,0.74,50%,0.74,62%,3.7,100%,0%,0.0,50.0,100.0,154.0,
