red_fighter,blue_fighter,red_kd,blue_kd,red_sig_str,blue_sig_str,red_sig_str_pct,blue_sig_str_pct,red_total_str,blue_total_str,red_td,blue_td,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl,blue_ctrl,red_head,blue_head,red_body,blue_body,red_leg,blue_leg,red_distance,blue_distance,red_clinch,blue_clinch,red_ground,blue_ground,win_by,last_round,last_round_time,format,referee,date,location,fight_type,winner,red_sig_str_landed,red_sig_str_attempted,blue_sig_str_landed,blue_sig_str_attempted,red_sig_str_pct_num,blue_sig_str_pct_num,red_total_str_landed,red_total_str_attempted,blue_total_str_landed,blue_total_str_attempted,red_td_landed,red_td_attempted,blue_td_landed,blue_td_attempted,red_td_pct_num,blue_td_pct_num,red_head_landed,red_head_attempted,blue_head_landed,blue_head_attempted,red_body_landed,red_body_attempted,blue_body_landed,blue_body_attempted,red_leg_landed,red_leg_attempted,blue_leg_landed,blue_leg_attempted,red_distance_landed,red_distance_attempted,blue_distance_landed,blue_distance_attempted,red_clinch_landed,red_clinch_attempted,blue_clinch_landed,blue_clinch_attempted,red_ground_landed,red_ground_attempted,blue_ground_landed,blue_ground_attempted,last_round_time_seconds
Gian Villante,Ovince Saint Preux,0,0,28 of 50,47 of 84,56%,55%,35 of 57,57 of 94,0 of 4,0 of 2,0%,0%,0,0,0,0,1:11,0:42,5 of 14,33 of 65,3 of 7,5 of 7,20 of 29,9 of 12,25 of 46,45 of 82,3 of 4,2 of 2,0 of 0,0 of 0,Decision - Majority,3,0:33,3 Rnd (5-5-5),Kevin Mulhall,2013-04-27,"Newark, New Jersey, USA",Light Heavyweight Bout,Ovince Saint Preux,28,50,47,84,56.0,55.0,35,57,57,94,0,4,0,2,0.0,0.0,5,14,33,65,3,7,5,7,20,29,9,12,25,46,45,82,3,4,2,2,0,0,0,0,33
Sara McMann,Sheila Gaff,0,0,8 of 9,7 of 12,88%,58%,72 of 73,15 of 20,2 of 2,0 of 0,100%,,0,0,0,0,3:47,0:01,7 of 8,1 of 4,1 of 1,6 of 8,0 of 0,0 of 0,1 of 2,1 of 4,0 of 0,6 of 8,7 of 7,0 of 0,KO/TKO,1,4:06,3 Rnd (5-5-5),Gasper Oliver,2013-04-27,"Newark, New Jersey, USA",Women's Bantamweight Bout,Sara McMann,8,9,7,12,88.0,58.0,72,73,15,20,2,2,0,0,100.0,,7,8,1,4,1,1,6,8,0,0,0,0,1,2,1,4,0,0,6,8,7,7,0,0,246
Roy Nelson,Cheick Kongo,1,0,2 of 5,4 of 6,40%,66%,3 of 6,8 of 10,0 of 0,0 of 0,,,0,0,0,0,1:11,0:00,2 of 4,0 of 2,0 of 1,2 of 2,0 of 0,2 of 2,1 of 2,2 of 4,0 of 2,2 of 2,1 of 1,0 of 0,KO/TKO,1,2:03,3 Rnd (5-5-5),Kevin Mulhall,2013-04-27,"Newark, New Jersey, USA",Heavyweight Bout,Roy Nelson,2,5,4,6,40.0,66.0,3,6,8,10,0,0,0,0,,,2,4,0,2,0,1,2,2,0,0,2,2,1,2,2,4,0,2,2,2,1,1,0,0,123
Michael Bisping,Alan Belcher,0,0,93 of 225,29 of 150,41%,19%,94 of 226,29 of 150,0 of 0,0 of 3,,0%,0,0,0,0,0:08,0:00,64 of 187,11 of 111,3 of 7,7 of 19,26 of 31,11 of 20,92 of 221,29 of 150,1 of 4,0 of 0,0 of 0,0 of 0,Decision - Unanimous,3,4:31,3 Rnd (5-5-5),Herb Dean,2013-04-27,"Newark, New Jersey, USA",Middleweight Bout,Michael Bisping,93,225,29,150,41.0,19.0,94,226,29,150,0,0,0,3,,0.0,64,187,11,111,3,7,7,19,26,31,11,20,92,221,29,150,1,4,0,0,0,0,0,0,271
Jim Miller,Pat Healy,0,0,27 of 57,53 of 95,47%,55%,41 of 71,135 of 184,1 of 1,5 of 7,100%,71%,0,2,1,0,3:02,7:05,18 of 45,41 of 79,3 of 5,10 of 13,6 of 7,2 of 3,11 of 37,20 of 43,4 of 7,16 of 22,12 of 13,17 of 30,Overturned,3,4:02,3 Rnd (5-5-5),Herb Dean,2013-04-27,"Newark, New Jersey, USA",Lightweight Bout,,27,57,53,95,47.0,55.0,41,71,135,184,1,1,5,7,100.0,71.0,18,45,41,79,3,5,10,13,6,7,2,3,11,37,20,43,4,7,16,22,12,13,17,30,242
Steven Siler,Kurt Holobaugh,0,0,50 of 109,41 of 92,45%,44%,128 of 201,133 of 196,1 of 4,1 of 2,25%,50%,2,2,0,0,6:47,4:59,36 of 92,13 of 58,13 of 16,18 of 20,1 of 1,10 of 14,22 of 52,15 of 60,15 of 32,16 of 19,13 of 25,10 of 13,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Gasper Oliver,2013-04-27,"Newark, New Jersey, USA",Featherweight Bout,Steven Siler,50,109,41,92,45.0,44.0,128,201,133,196,1,4,1,2,25.0,50.0,36,92,13,58,13,16,18,20,1,1,10,14,22,52,15,60,15,32,16,19,13,25,10,13,300
Bryan Caraway,Johnny Bedford,0,0,43 of 108,50 of 131,39%,38%,125 of 202,59 of 140,3 of 7,0 of 1,42%,0%,1,0,0,1,6:21,0:20,38 of 99,30 of 108,5 of 8,16 of 19,0 of 1,4 of 4,41 of 106,45 of 126,1 of 1,5 of 5,1 of 1,0 of 0,Submission,3,4:44,3 Rnd (5-5-5),Keith Peterson,2013-04-27,"Newark, New Jersey, USA",Bantamweight Bout,Bryan Caraway,43,108,50,131,39.0,38.0,125,202,59,140,3,7,0,1,42.0,0.0,38,99,30,108,5,8,16,19,0,1,4,4,41,106,45,126,1,1,5,5,1,1,0,0,284
Leonard Garcia,Cody McKenzie,0,0,15 of 77,30 of 54,19%,55%,30 of 92,84 of 111,0 of 0,5 of 13,,38%,0,4,0,0,0:20,9:11,10 of 70,27 of 48,4 of 4,2 of 5,1 of 3,1 of 1,11 of 73,16 of 38,2 of 2,4 of 6,2 of 2,10 of 10,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2013-04-27,"Newark, New Jersey, USA",Featherweight Bout,Cody McKenzie,15,77,30,54,19.0,55.0,30,92,84,111,0,0,5,13,,38.0,10,70,27,48,4,4,2,5,1,3,1,1,11,73,16,38,2,2,4,6,2,2,10,10,300
Chad Mendes,Darren Elkins,1,0,7 of 14,2 of 29,50%,6%,7 of 14,2 of 29,0 of 0,0 of 0,,,0,0,0,0,0:03,0:00,5 of 12,1 of 28,0 of 0,1 of 1,2 of 2,0 of 0,5 of 11,2 of 29,0 of 0,0 of 0,2 of 3,0 of 0,KO/TKO,1,1:08,3 Rnd (5-5-5),Herb Dean,2013-04-20,"San Jose, California, USA",Featherweight Bout,Chad Mendes,7,14,2,29,50.0,6.0,7,14,2,29,0,0,0,0,,,5,12,1,28,0,0,1,1,2,2,0,0,5,11,2,29,0,0,0,0,2,3,0,0,68
Benson Henderson,Gilbert Melendez,0,0,68 of 166,43 of 191,40%,22%,92 of 191,56 of 204,0 of 4,1 of 1,0%,100%,0,0,0,0,1:27,0:51,20 of 110,16 of 155,20 of 22,16 of 20,28 of 34,11 of 16,58 of 150,34 of 174,8 of 13,8 of 14,2 of 3,1 of 3,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,2013-04-20,"San Jose, California, USA",UFC Lightweight Title Bout,Benson Henderson,68,166,43,191,40.0,22.0,92,191,56,204,0,4,1,1,0.0,100.0,20,110,16,155,20,22,16,20,28,34,11,16,58,150,34,174,8,13,8,14,2,3,1,3,300
Francis Carmont,Lorenz Larkin,0,0,12 of 75,32 of 82,16%,39%,13 of 78,36 of 88,2 of 11,0 of 0,18%,,0,0,0,1,5:17,0:08,8 of 58,11 of 46,1 of 12,1 of 8,3 of 5,20 of 28,11 of 72,22 of 65,1 of 3,9 of 16,0 of 0,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,2013-04-20,"San Jose, California, USA",Middleweight Bout,Francis Carmont,12,75,32,82,16.0,39.0,13,78,36,88,2,11,0,0,18.0,,8,58,11,46,1,12,1,8,3,5,20,28,11,72,22,65,1,3,9,16,0,0,1,1,300
Ramsey Nijem,Myles Jury,0,1,6 of 28,5 of 24,21%,20%,10 of 32,14 of 37,1 of 1,2 of 2,100%,100%,0,0,1,1,2:19,2:17,3 of 22,3 of 17,2 of 5,1 of 3,1 of 1,1 of 4,5 of 26,3 of 21,0 of 0,0 of 0,1 of 2,2 of 3,KO/TKO,2,1:02,3 Rnd (5-5-5),John McCarthy,2013-04-20,"San Jose, California, USA",Lightweight Bout,Myles Jury,6,28,5,24,21.0,20.0,10,32,14,37,1,1,2,2,100.0,100.0,3,22,3,17,2,5,1,3,1,1,1,4,5,26,3,21,0,0,0,0,1,2,2,3,62
Nate Diaz,Josh Thomson,0,1,21 of 74,36 of 71,28%,50%,40 of 94,44 of 79,1 of 1,1 of 1,100%,100%,1,0,0,0,0:54,1:21,17 of 65,23 of 50,2 of 7,7 of 9,2 of 2,6 of 12,15 of 64,13 of 34,4 of 7,13 of 17,2 of 3,10 of 20,KO/TKO,2,3:44,3 Rnd (5-5-5),Mike Beltran,2013-04-20,"San Jose, California, USA",Lightweight Bout,Josh Thomson,21,74,36,71,28.0,50.0,40,94,44,79,1,1,1,1,100.0,100.0,17,65,23,50,2,7,7,9,2,2,6,12,15,64,13,34,4,7,13,17,2,3,10,20,224
Frank Mir,Daniel Cormier,0,0,24 of 60,59 of 96,40%,61%,53 of 89,102 of 139,0 of 0,0 of 1,,0%,0,0,0,0,0:18,7:34,5 of 38,27 of 57,14 of 17,23 of 30,5 of 5,9 of 9,13 of 44,10 of 32,10 of 15,49 of 64,1 of 1,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2013-04-20,"San Jose, California, USA",Heavyweight Bout,Daniel Cormier,24,60,59,96,40.0,61.0,53,89,102,139,0,0,0,1,,0.0,5,38,27,57,14,17,23,30,5,5,9,9,13,44,10,32,10,15,49,64,1,1,0,0,300
Joseph Benavidez,Darren Uyenoyama,2,0,57 of 153,11 of 33,37%,33%,63 of 162,11 of 33,2 of 2,0 of 2,100%,0%,0,0,0,0,1:51,0:26,35 of 126,6 of 24,8 of 10,3 of 7,14 of 17,2 of 2,49 of 130,8 of 29,2 of 3,2 of 2,6 of 20,1 of 2,KO/TKO,2,4:50,3 Rnd (5-5-5),Herb Dean,2013-04-20,"San Jose, California, USA",Flyweight Bout,Joseph Benavidez,57,153,11,33,37.0,33.0,63,162,11,33,2,2,0,2,100.0,0.0,35,126,6,24,8,10,3,7,14,17,2,2,49,130,8,29,2,3,2,2,6,20,1,2,290
Matt Brown,Jordan Mein,0,1,40 of 84,24 of 58,47%,41%,41 of 85,25 of 59,0 of 1,0 of 0,0%,,1,0,0,0,0:35,1:27,27 of 67,18 of 49,13 of 16,5 of 8,0 of 1,1 of 1,17 of 54,17 of 42,12 of 17,1 of 4,11 of 13,6 of 12,KO/TKO,2,1:00,3 Rnd (5-5-5),John McCarthy,2013-04-20,"San Jose, California, USA",Welterweight Bout,Matt Brown,40,84,24,58,47.0,41.0,41,85,25,59,0,1,0,0,0.0,,27,67,18,49,13,16,5,8,0,1,1,1,17,54,17,42,12,17,1,4,11,13,6,12,60
Tim Means,Jorge Masvidal,0,0,43 of 133,50 of 132,32%,37%,68 of 161,71 of 157,0 of 1,6 of 8,0%,75%,0,0,1,0,0:18,7:22,33 of 114,38 of 116,7 of 15,10 of 14,3 of 4,2 of 2,24 of 85,21 of 63,2 of 5,2 of 5,17 of 43,27 of 64,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,2013-04-20,"San Jose, California, USA",Lightweight Bout,Jorge Masvidal,43,133,50,132,32.0,37.0,68,161,71,157,0,1,6,8,0.0,75.0,33,114,38,116,7,15,10,14,3,4,2,2,24,85,21,63,2,5,2,5,17,43,27,64,300
TJ Dillashaw,Hugo Viana,1,0,21 of 44,11 of 34,47%,32%,22 of 45,13 of 36,1 of 3,0 of 0,33%,,0,0,0,0,1:02,0:00,16 of 39,8 of 30,3 of 3,1 of 2,2 of 2,2 of 2,17 of 39,8 of 28,1 of 2,3 of 6,3 of 3,0 of 0,KO/TKO,1,4:22,3 Rnd (5-5-5),John McCarthy,2013-04-20,"San Jose, California, USA",Bantamweight Bout,TJ Dillashaw,21,44,11,34,47.0,32.0,22,45,13,36,1,3,0,0,33.0,,16,39,8,30,3,3,1,2,2,2,2,2,17,39,8,28,1,2,3,6,3,3,0,0,262
Anthony Njokuani,Roger Bowling,1,0,26 of 46,27 of 76,56%,35%,28 of 48,32 of 82,0 of 1,1 of 1,0%,100%,0,0,0,0,0:02,0:54,15 of 33,15 of 55,7 of 9,6 of 11,4 of 4,6 of 10,22 of 41,22 of 69,4 of 4,2 of 4,0 of 1,3 of 3,KO/TKO,2,2:52,3 Rnd (5-5-5),Herb Dean,2013-04-20,"San Jose, California, USA",Lightweight Bout,Anthony Njokuani,26,46,27,76,56.0,35.0,28,48,32,82,0,1,1,1,0.0,100.0,15,33,15,55,7,9,6,11,4,4,6,10,22,41,22,69,4,4,2,4,0,1,3,3,172
Clifford Starks,Yoel Romero,0,1,3 of 18,12 of 12,16%,100%,3 of 18,12 of 12,0 of 0,0 of 1,,0%,0,0,0,0,0:00,0:03,1 of 14,6 of 6,1 of 3,1 of 1,1 of 1,5 of 5,3 of 18,8 of 8,0 of 0,0 of 0,0 of 0,4 of 4,KO/TKO,1,1:32,3 Rnd (5-5-5),Mike Beltran,2013-04-20,"San Jose, California, USA",Middleweight Bout,Yoel Romero,3,18,12,12,16.0,100.0,3,18,12,12,0,0,0,1,,0.0,1,14,6,6,1,3,1,1,1,1,5,5,3,18,8,8,0,0,0,0,0,0,4,4,92
Robert McDaniel,Gilbert Smith,0,0,35 of 54,14 of 34,64%,41%,97 of 117,24 of 45,0 of 0,3 of 5,,60%,3,1,2,1,6:17,3:50,26 of 43,6 of 24,5 of 7,6 of 8,4 of 4,2 of 2,18 of 34,12 of 29,6 of 8,2 of 5,11 of 12,0 of 0,Submission,3,2:49,3 Rnd (5-5-5),Steve Mazzagatti,2013-04-13,"Las Vegas, Nevada, USA",Middleweight Bout,Robert McDaniel,35,54,14,34,64.0,41.0,97,117,24,45,0,0,3,5,,60.0,26,43,6,24,5,7,6,8,4,4,2,2,18,34,12,29,6,8,2,5,11,12,0,0,169
Uriah Hall,Kelvin Gastelum,0,0,44 of 77,31 of 74,57%,41%,81 of 121,81 of 141,2 of 3,3 of 6,66%,50%,0,0,3,0,1:54,6:29,23 of 51,7 of 49,13 of 18,14 of 14,8 of 8,10 of 11,28 of 60,18 of 51,8 of 8,10 of 13,8 of 9,3 of 10,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,2013-04-13,"Las Vegas, Nevada, USA",Ultimate Fighter 17 Middleweight Tournament Title Bout,Kelvin Gastelum,44,77,31,74,57.0,41.0,81,121,81,141,2,3,3,6,66.0,50.0,23,51,7,49,13,18,14,14,8,8,10,11,28,60,18,51,8,8,10,13,8,9,3,10,300
Luke Barnatt,Collin Hart,0,0,113 of 232,95 of 212,48%,44%,119 of 238,104 of 223,1 of 2,2 of 12,50%,16%,1,0,0,0,0:42,3:33,93 of 203,67 of 163,13 of 19,11 of 18,7 of 10,17 of 31,94 of 206,75 of 177,17 of 23,20 of 35,2 of 3,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kim Winslow,2013-04-13,"Las Vegas, Nevada, USA",Middleweight Bout,Luke Barnatt,113,232,95,212,48.0,44.0,119,238,104,223,1,2,2,12,50.0,16.0,93,203,67,163,13,19,11,18,7,10,17,31,94,206,75,177,17,23,20,35,2,3,0,0,300
Josh Samman,Kevin Casey,1,0,36 of 62,14 of 22,58%,63%,55 of 83,64 of 76,0 of 0,0 of 1,,0%,0,2,0,0,2:17,3:13,13 of 33,9 of 15,21 of 27,5 of 7,2 of 2,0 of 0,1 of 3,0 of 3,30 of 47,3 of 3,5 of 12,11 of 16,KO/TKO,2,2:17,3 Rnd (5-5-5),Herb Dean,2013-04-13,"Las Vegas, Nevada, USA",Middleweight Bout,Josh Samman,36,62,14,22,58.0,63.0,55,83,64,76,0,0,0,1,,0.0,13,33,9,15,21,27,5,7,2,2,0,0,1,3,0,3,30,47,3,3,5,12,11,16,137
Urijah Faber,Scott Jorgensen,0,0,93 of 163,73 of 168,57%,43%,119 of 200,76 of 173,4 of 6,1 of 6,66%,16%,3,0,0,0,5:05,2:09,57 of 123,45 of 136,32 of 36,8 of 12,4 of 4,20 of 20,87 of 155,65 of 158,5 of 6,8 of 10,1 of 2,0 of 0,Submission,4,3:16,5 Rnd (5-5-5-5-5),Steve Mazzagatti,2013-04-13,"Las Vegas, Nevada, USA",Bantamweight Bout,Urijah Faber,93,163,73,168,57.0,43.0,119,200,76,173,4,6,1,6,66.0,16.0,57,123,45,136,32,36,8,12,4,4,20,20,87,155,65,158,5,6,8,10,1,2,0,0,196
Travis Browne,Gabriel Gonzaga,1,0,9 of 10,1 of 1,90%,100%,11 of 12,3 of 3,0 of 0,0 of 2,,0%,0,0,0,0,0:00,0:58,7 of 8,0 of 0,1 of 1,1 of 1,1 of 1,0 of 0,0 of 1,0 of 0,9 of 9,1 of 1,0 of 0,0 of 0,KO/TKO,1,1:11,3 Rnd (5-5-5),Chris Tognoni,2013-04-13,"Las Vegas, Nevada, USA",Heavyweight Bout,Travis Browne,9,10,1,1,90.0,100.0,11,12,3,3,0,0,0,2,,0.0,7,8,0,0,1,1,1,1,1,1,0,0,0,1,0,0,9,9,1,1,0,0,0,0,71
Miesha Tate,Cat Zingano,0,0,23 of 42,35 of 42,54%,83%,54 of 80,107 of 120,3 of 7,1 of 1,42%,100%,3,1,0,2,4:56,5:53,21 of 40,23 of 30,2 of 2,8 of 8,0 of 0,4 of 4,16 of 30,16 of 22,2 of 4,8 of 9,5 of 8,11 of 11,KO/TKO,3,2:55,3 Rnd (5-5-5),Kim Winslow,2013-04-13,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Cat Zingano,23,42,35,42,54.0,83.0,54,80,107,120,3,7,1,1,42.0,100.0,21,40,23,30,2,2,8,8,0,0,4,4,16,30,16,22,2,4,8,9,5,8,11,11,175
Dylan Andrews,Jimmy Quinlan,1,0,20 of 24,7 of 10,83%,70%,33 of 40,7 of 10,0 of 0,1 of 4,,25%,0,0,0,0,0:08,2:47,20 of 24,5 of 8,0 of 0,2 of 2,0 of 0,0 of 0,4 of 5,7 of 10,4 of 4,0 of 0,12 of 15,0 of 0,KO/TKO,1,3:22,3 Rnd (5-5-5),Chris Tognoni,2013-04-13,"Las Vegas, Nevada, USA",Middleweight Bout,Dylan Andrews,20,24,7,10,83.0,70.0,33,40,7,10,0,0,1,4,,25.0,20,24,5,8,0,0,2,2,0,0,0,0,4,5,7,10,4,4,0,0,12,15,0,0,202
Justin Lawrence,Daniel Pineda,0,0,0 of 2,1 of 2,0%,50%,0 of 2,4 of 5,0 of 0,2 of 3,,66%,0,1,0,0,0:00,1:19,0 of 2,0 of 1,0 of 0,1 of 1,0 of 0,0 of 0,0 of 2,0 of 1,0 of 0,1 of 1,0 of 0,0 of 0,Submission,1,1:35,3 Rnd (5-5-5),Chris Tognoni,2013-04-13,"Las Vegas, Nevada, USA",Featherweight Bout,Daniel Pineda,0,2,1,2,0.0,50.0,0,2,4,5,0,0,2,3,,66.0,0,2,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,95
Bristol Marunde,Clint Hester,0,2,21 of 81,66 of 143,25%,46%,29 of 93,78 of 156,3 of 9,0 of 1,33%,0%,0,0,0,0,2:24,1:58,17 of 77,50 of 118,2 of 2,9 of 15,2 of 2,7 of 10,17 of 72,40 of 105,4 of 9,13 of 20,0 of 0,13 of 18,KO/TKO,3,3:53,3 Rnd (5-5-5),Steve Mazzagatti,2013-04-13,"Las Vegas, Nevada, USA",Middleweight Bout,Clint Hester,21,81,66,143,25.0,46.0,29,93,78,156,3,9,0,1,33.0,0.0,17,77,50,118,2,2,9,15,2,2,7,10,17,72,40,105,4,9,13,20,0,0,13,18,233
Sam Sicilia,Maximo Blanco,0,0,26 of 99,52 of 145,26%,35%,32 of 107,86 of 180,1 of 7,2 of 4,14%,50%,1,1,0,0,2:11,3:45,19 of 90,39 of 113,2 of 3,3 of 16,5 of 6,10 of 16,16 of 81,43 of 130,9 of 15,9 of 14,1 of 3,0 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kim Winslow,2013-04-13,"Las Vegas, Nevada, USA",Featherweight Bout,Maximo Blanco,26,99,52,145,26.0,35.0,32,107,86,180,1,7,2,4,14.0,50.0,19,90,39,113,2,3,3,16,5,6,10,16,16,81,43,130,9,15,9,14,1,3,0,1,300
Cole Miller,Bart Palaszewski,0,0,5 of 43,18 of 62,11%,29%,6 of 44,18 of 62,1 of 1,0 of 0,100%,,1,0,0,0,0:44,0:00,1 of 36,7 of 48,1 of 4,2 of 4,3 of 3,9 of 10,5 of 43,17 of 61,0 of 0,0 of 0,0 of 0,1 of 1,Submission,1,4:23,3 Rnd (5-5-5),Herb Dean,2013-04-13,"Las Vegas, Nevada, USA",Featherweight Bout,Cole Miller,5,43,18,62,11.0,29.0,6,44,18,62,1,1,0,0,100.0,,1,36,7,48,1,4,2,4,3,3,9,10,5,43,17,61,0,0,0,0,0,0,1,1,263
Ryan Couture,Ross Pearson,0,1,29 of 77,28 of 41,37%,68%,35 of 83,48 of 62,1 of 7,1 of 1,14%,100%,0,0,0,0,3:08,0:10,7 of 38,22 of 35,12 of 18,6 of 6,10 of 21,0 of 0,15 of 54,22 of 32,14 of 23,3 of 3,0 of 0,3 of 6,KO/TKO,2,3:45,3 Rnd (5-5-5),Leon Roberts,2013-04-06,"Stockholm, Sweden",Lightweight Bout,Ross Pearson,29,77,28,41,37.0,68.0,35,83,48,62,1,7,1,1,14.0,100.0,7,38,22,35,12,18,6,6,10,21,0,0,15,54,22,32,14,23,3,3,0,0,3,6,225
Reza Madadi,Michael Johnson,0,1,34 of 46,20 of 64,73%,31%,79 of 98,21 of 66,4 of 6,0 of 0,66%,,2,0,0,0,6:07,1:50,33 of 44,13 of 53,1 of 2,6 of 10,0 of 0,1 of 1,2 of 9,10 of 46,0 of 0,5 of 7,32 of 37,5 of 11,Submission,3,1:33,3 Rnd (5-5-5),Marko Gyllenland,2013-04-06,"Stockholm, Sweden",Lightweight Bout,Reza Madadi,34,46,20,64,73.0,31.0,79,98,21,66,4,6,0,0,66.0,,33,44,13,53,1,2,6,10,0,0,1,1,2,9,10,46,0,0,5,7,32,37,5,11,93
Matt Mitrione,Philip De Fries,0,0,7 of 9,0 of 2,77%,0%,7 of 9,0 of 2,0 of 0,0 of 2,,0%,0,0,0,0,0:03,0:00,7 of 9,0 of 2,0 of 0,0 of 0,0 of 0,0 of 0,1 of 3,0 of 2,0 of 0,0 of 0,6 of 6,0 of 0,KO/TKO,1,0:19,3 Rnd (5-5-5),Marc Goddard,2013-04-06,"Stockholm, Sweden",Heavyweight Bout,Matt Mitrione,7,9,0,2,77.0,0.0,7,9,0,2,0,0,0,2,,0.0,7,9,0,2,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,6,6,0,0,19
Diego Brandao,Pablo Garza,0,0,9 of 18,4 of 14,50%,28%,18 of 27,6 of 17,0 of 0,1 of 2,,50%,1,0,0,0,1:41,0:00,4 of 11,2 of 12,2 of 2,1 of 1,3 of 5,1 of 1,7 of 14,3 of 13,0 of 1,1 of 1,2 of 3,0 of 0,Submission,1,3:27,3 Rnd (5-5-5),Marko Gyllenland,2013-04-06,"Stockholm, Sweden",Featherweight Bout,Diego Brandao,9,18,4,14,50.0,28.0,18,27,6,17,0,0,1,2,,50.0,4,11,2,12,2,2,1,1,3,5,1,1,7,14,3,13,0,1,1,1,2,3,0,0,207
Gegard Mousasi,Ilir Latifi,0,0,80 of 150,18 of 112,53%,16%,80 of 150,20 of 114,0 of 0,1 of 3,,33%,0,0,0,0,0:06,0:31,62 of 120,11 of 101,7 of 18,3 of 5,11 of 12,4 of 6,79 of 148,16 of 105,0 of 0,0 of 1,1 of 2,2 of 6,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2013-04-06,"Stockholm, Sweden",Light Heavyweight Bout,Gegard Mousasi,80,150,18,112,53.0,16.0,80,150,20,114,0,0,1,3,,33.0,62,120,11,101,7,18,3,5,11,12,4,6,79,148,16,105,0,0,0,1,1,2,2,6,300
Tor Troeng,Adam Cella,0,0,6 of 11,2 of 12,54%,16%,16 of 23,4 of 14,1 of 1,0 of 0,100%,,1,0,0,0,2:21,0:00,5 of 8,1 of 8,0 of 1,0 of 2,1 of 2,1 of 2,2 of 7,2 of 12,0 of 0,0 of 0,4 of 4,0 of 0,Submission,1,3:11,3 Rnd (5-5-5),Marc Goddard,2013-04-06,"Stockholm, Sweden",Middleweight Bout,Tor Troeng,6,11,2,12,54.0,16.0,16,23,4,14,1,1,0,0,100.0,,5,8,1,8,0,1,0,2,1,2,1,2,2,7,2,12,0,0,0,0,4,4,0,0,191
Brad Pickett,Mike Easton,0,0,68 of 205,71 of 155,33%,45%,94 of 234,91 of 182,4 of 7,3 of 8,57%,37%,0,0,1,0,4:34,2:30,50 of 183,44 of 119,8 of 12,14 of 22,10 of 10,13 of 14,47 of 170,52 of 123,21 of 33,18 of 29,0 of 2,1 of 3,Decision - Split,3,5:00,3 Rnd (5-5-5),Leon Roberts,2013-04-06,"Stockholm, Sweden",Bantamweight Bout,Brad Pickett,68,205,71,155,33.0,45.0,94,234,91,182,4,7,3,8,57.0,37.0,50,183,44,119,8,12,14,22,10,10,13,14,47,170,52,123,21,33,18,29,0,2,1,3,300
Akira Corassani,Robert Peralta,0,0,48 of 86,67 of 144,55%,46%,57 of 96,94 of 172,2 of 6,0 of 2,33%,0%,0,0,0,0,4:30,2:11,18 of 49,29 of 98,9 of 12,20 of 27,21 of 25,18 of 19,38 of 71,28 of 96,10 of 15,34 of 43,0 of 0,5 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kristian Hacklou,2013-04-06,"Stockholm, Sweden",Featherweight Bout,Akira Corassani,48,86,67,144,55.0,46.0,57,96,94,172,2,6,0,2,33.0,0.0,18,49,29,98,9,12,20,27,21,25,18,19,38,71,28,96,10,15,34,43,0,0,5,5,300
Chris Spang,Adlan Amagov,0,0,5 of 57,38 of 99,8%,38%,24 of 76,57 of 118,0 of 0,6 of 10,,60%,0,0,0,0,0:00,4:29,1 of 44,12 of 53,1 of 4,5 of 9,3 of 9,21 of 37,4 of 53,26 of 77,1 of 4,10 of 16,0 of 0,2 of 6,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2013-04-06,"Stockholm, Sweden",Welterweight Bout,Adlan Amagov,5,57,38,99,8.0,38.0,24,76,57,118,0,0,6,10,,60.0,1,44,12,53,1,4,5,9,3,9,21,37,4,53,26,77,1,4,10,16,0,0,2,6,300
Marcus Brimage,Conor McGregor,0,1,12 of 41,21 of 35,29%,60%,12 of 41,22 of 36,0 of 0,0 of 0,,,0,0,0,0,0:00,0:05,7 of 34,20 of 34,2 of 2,1 of 1,3 of 5,0 of 0,12 of 41,16 of 29,0 of 0,0 of 0,0 of 0,5 of 6,KO/TKO,1,1:07,3 Rnd (5-5-5),Robert Sundel,2013-04-06,"Stockholm, Sweden",Featherweight Bout,Conor McGregor,12,41,21,35,29.0,60.0,12,41,22,36,0,0,0,0,,,7,34,20,34,2,2,1,1,3,5,0,0,12,41,16,29,0,0,0,0,0,0,5,6,67
